groupV.NS1	groupV.NS2	groupV.NS3	AveExpr	F	P.Value	adj.P.Val
FBgn0037288	-1.17728241693596	-0.863172668133761	-0.262434824374863	8.00252906129513	11.8325030553841	4.71132643876777e-06	0.000265491198630156
FBgn0036374	0.0509439406654975	0.463951817020491	0.475220341831966	5.49218992507579	11.8262378777605	4.7373154224801e-06	0.000265491198630156
FBgn0031497	-0.658919912099677	-0.938781373986923	0.188083420727032	5.74936883290156	11.8197110126081	4.76454793154817e-06	0.000265491198630156
FBgn0000492	-0.198343238829841	1.96943909781057	0.471932117579811	3.63976718612063	11.7973762159895	4.85897044434024e-06	0.000267796539065493
FBgn0050344	0.113821076406863	-0.344276547803584	-0.421279078065724	5.85711058792966	11.7849134065574	4.91249882416601e-06	0.000267796539065493
FBgn0035228	0.484647607406468	0.956737289643032	0.460947246881781	7.42347800745508	11.7828321779437	4.9214971608484e-06	0.000267796539065493
FBgn0031053	-0.311420050552346	0.958299718201002	0.987941550694883	2.41141437162347	11.7763942399554	4.94944029521826e-06	0.000267796539065493
FBgn0046876	-0.669970274590472	-2.99321995714976	-0.318080768385554	2.84661242728863	11.7665374158623	4.99254159224317e-06	0.000267796539065493
FBgn0036974	-0.127195725792239	-0.475195477429068	0.0450115948907396	7.15298968616884	11.7633760480126	5.00644763073973e-06	0.000267796539065493
FBgn0029820	0.536721028959931	0.633067224242749	0.0807372274669343	7.03081314355302	11.7617574045022	5.01358315077748e-06	0.000267796539065493
FBgn0033661	-0.239927742329354	-1.49143510110902	0.116379863304487	5.61250181724811	11.7540365897788	5.04776434745528e-06	0.000268036286849875
FBgn0011207	-0.0739127333449998	-0.633975638910503	-0.263635045734192	5.07160074605839	11.740801535451	5.10692065289201e-06	0.000269591653413194
FBgn0032400	1.08475794078202	1.00572558234713	-0.041731702364917	9.72163757683492	11.7293406218987	5.15872730984116e-06	0.000270743205964745
FBgn0010391	-0.795760164967462	-0.94811971870677	0.113429854875393	6.17600338204045	11.7196207551989	5.20309052377768e-06	0.000271493052937232
FBgn0023174	0.104417995757597	-0.159318323941194	-0.49256241861867	5.93067546280862	11.7080861601937	5.256249742046e-06	0.000272690611617524
FBgn0001341	-0.0762195245935759	-1.39952609205784	-0.126096375339463	3.34908198532656	11.6964588001869	5.31040617189634e-06	0.000273925922935476
FBgn0263260	-0.780159313810716	-1.45964790386678	-0.54225429557801	4.27149885631535	11.6851349023077	5.36370495025564e-06	0.00027510320787476
FBgn0038795	-1.13072260561451	-1.87650143453793	-0.83167197829309	3.96985796737457	11.665614850464	5.45688584890454e-06	0.000278301178294131
FBgn0038747	-0.205504808129274	0.252909246316798	0.518613951979684	5.59891301910897	11.6455084028135	5.55462070497553e-06	0.000281694163504573
FBgn0003499	-0.534050923338746	1.05507036748985	0.760486587848674	4.86375984161433	11.6132313090748	5.71532476314153e-06	0.000288224785680886
FBgn0027556	-0.140039785878623	-0.853615701067182	-0.265322060062471	7.1095135847053	11.5766601071781	5.90324309011452e-06	0.000296047640969243
FBgn0000411	-0.215940102676357	0.291775450563389	0.5470589739723	3.96133591962091	11.5554637440619	6.01507810764344e-06	0.000299989558440317
FBgn0003062	-0.125695606424817	-1.12133691684638	1.2087993398857	4.93632268809786	11.5155627299496	6.23159573833463e-06	0.000308485132809483
FBgn0250869	0.505160422794294	1.07087890416114	0.473781575600997	6.37447563861174	11.5115577261611	6.25376972461896e-06	0.000308485132809483
FBgn0263594	-0.325767600773737	-0.368943140201359	0.19529721530911	8.32999271572159	11.4941365505682	6.35117852027167e-06	0.000311587437513545
FBgn0039828	0.00856314901517197	-0.874644398221823	0.429668097008046	3.79698545538316	11.4863026107601	6.39549225180328e-06	0.000312065451659612
FBgn0033459	1.53323759798495	-0.0639811018739967	-0.791498312134624	1.35169992790269	11.4670238217924	6.50591460593554e-06	0.000312306039688393
FBgn0015714	0.726170782420576	0.485303096423754	0.130295951400362	6.13495148422334	11.4651254051106	6.51689438340552e-06	0.000312306039688393
